,0
0,6172.5592902752105
1,-16375.249514068244
2,2022.7288624981884
3,13180.01652809768
4,11145.102866556495
5,4342.678985034814
6,-4643.0800363551825
7,9518.187419069232
8,3415.0385558120906
9,606.8640319933183
10,-17669.142722788267
11,-2576.0324335938785
12,-3428.006877065869
13,-12850.505792883225
14,-7506.576366181485
15,16393.800641034497
16,8837.686580355745
17,1352.5380001214799
18,-5461.923661703011
19,-9760.101418589707
20,-6154.513745094882
21,5228.245612275088
22,-7664.1599291039165
23,23.468169305939227
24,12419.75325812609
25,-6293.7936578760855
26,2780.4319239822216
27,-2868.336001693504
28,4803.900095777819
29,2098.9339393002447
30,-3217.3208392818924
31,-11312.93475517584
32,-13986.928770438535
33,-34121.80376597587
34,-39992.88106415921
35,-16736.808867939282
36,42001.65939787775
37,23248.67896756099
38,304.5887568644248
39,-7009.829438148183
40,-34860.07027680171
41,17725.78839310794
42,2487.939956441056
43,-18020.27453261125
44,24827.259378282353
45,-18184.75948863488
46,6007.577184307389
47,5869.173091091216
48,-7607.261133534368
49,15361.141261287848
50,8680.36965459038
51,3419.8543034517206
52,-20767.664648729144
53,7432.288473453256
54,-11673.2443145992
55,-4488.043011222617
56,-1431.4791382894618
57,977.9789415854029
58,-24497.676929369103
59,4788.234236904187
60,20693.214927623398
61,-1215.7062631394947
