,0
0,1019445.7349871672
1,1060504.5835259934
2,1059256.281009896
3,1067963.0203499645
4,1076752.5228331669
5,1078162.8398233252
6,1075219.7434888212
7,1071773.2557740046
8,1071094.0223351133
9,1086649.111843198
10,1092494.4689863978
11,1091403.3314441817
12,1074150.6131076145
13,1064419.7600755338
14,1085415.4258385724
15,1104587.5210483687
16,1104780.1575732771
17,1098950.504439912
18,1114274.9343886864
19,1112390.6078761609
20,1105455.1856729821
21,1120696.1001268171
22,1125459.3845382642
23,1126519.3526932057
24,1125738.8002693364
25,1140646.3658413
26,1127924.2261510105
27,1131943.3320923096
28,1132202.8421151668
29,1115529.5805498308
30,1097935.8106614556
31,1114744.5055235373
32,1111781.5757515994
33,1134430.906218009
34,1133344.2803706017
35,1137016.047168183
36,1136333.0236811477
37,1134459.3983739186
38,1136082.2340247533
39,1137284.6090905224
40,1132988.8277882675
41,1154395.2032284786
42,1140935.5096273676
43,1122465.5495180548
44,1146528.8230492212
45,1134187.9092061173
46,1129182.8955415324
47,1115663.0888921607
48,1119672.8339326673
49,1094776.3064594406
50,1107607.467387329
51,1122361.4014257523
52,1141693.9822148008
53,1124024.6708232537
54,1101919.2604964569
55,1111496.7070485852
56,1121240.5515937668
57,1133264.4485814907
58,1129809.5999793033
59,1131180.7693678974
60,1146021.944879752
61,1137763.6920273928
62,1124251.547925318
