,0
0,1000000.0
1,1002841.0019120316
2,1001699.1160577384
3,1003200.4451170065
4,1003039.172469982
5,1004818.2110218592
6,997518.2683536584
7,1001860.7547973963
8,1005399.3065350814
9,1018943.9934102324
10,1022137.6609962918
11,1025286.6562142066
12,1026686.820220654
13,1035306.6594848789
14,1034258.7015226281
15,1033661.6235068395
16,1047955.6509527314
17,1048743.8485644292
18,1049951.5900413264
19,1042601.4293482667
20,1045786.0882110418
21,1049710.9802572639
22,1054403.5098590306
23,1058057.4796989972
24,1061178.011051457
25,1060175.406460513
26,1063264.1740229328
27,1052214.043198141
28,1059700.5985801946
29,1057073.2557252813
30,1053128.95245609
31,1067185.7425743935
32,1064757.434849038
33,1069641.4254581449
34,1069502.2653345233
35,1069023.2845080423
36,1069048.0910909385
37,1062893.5789654267
38,1069485.195146134
39,1072491.838977785
40,1081481.6485375804
41,1081918.5956637056
42,1084246.4837781794
43,1084351.214477461
44,1082582.9445263676
45,1075351.0253056749
46,1059830.7236707
47,1069505.1709153855
48,1069654.8182170095
49,1061243.5902778797
50,1076345.3163374616
51,1077061.796213624
52,1082618.7985482072
53,1082293.1820229262
54,1084685.1614479455
55,1073048.1584048916
56,1076971.1731180665
57,1065382.0781673642
58,1061466.2961782394
59,1057849.2010726251
60,1063079.7654804206
61,1062398.5991348207
62,1058515.7900040995
63,1066456.411893761
64,1071568.1915599622
65,1071614.6105559857
66,1074123.409125418
67,1076909.5952218806
68,1060023.84306051
69,1062791.819772792
70,1079249.6572338631
71,1084082.5913655497
72,1082184.1534649066
73,1082303.685021033
74,1077527.323365909
75,1080209.0002454596
76,1067678.8308281028
77,1068866.4838345367
78,1051225.483134493
79,1062927.6596897966
80,1039539.7799197815
81,1025226.0528651114
82,1030654.7197574856
83,1013391.0545673075
84,1019924.1237878848
85,1023177.9245823829
86,994992.5432165301
87,1027105.3109954335
88,1036441.0170134021
89,1053498.459405995
90,1020377.8208555795
91,1022255.3494592363
92,1022642.1753966657
93,1002793.1205574954
94,992774.438538011
95,999871.514408491
96,1025474.5291560922
97,1023320.3100437614
98,1024665.7215863834
99,1036694.3569410995
100,1038054.1826493281
101,1048225.6121194405
102,1040449.8029662889
103,1013640.4665186966
104,1032700.8628214414
105,1026931.9429365003
106,1037418.7835699356
107,1048271.1032516496
108,1036828.1639544808
109,1037640.8436833697
110,1022020.7705306916
111,1024654.5599820948
112,1039243.5598988193
113,1038991.2777179149
114,1049495.5040413286
115,1051184.3425580182
116,1044283.2160448771
117,1076397.1973082481
118,1085144.9259195856
119,1077798.2689247709
120,1084996.7047889468
121,1079806.4413905165
122,1082004.2669236695
123,1087216.22501167
124,1090151.3612774676
125,1089900.6438421695
126,1106516.5893534638
127,1107716.6611362938
128,1105334.2258604835
129,1105365.9407302095
130,1116359.291199597
131,1116545.3808319932
132,1126484.1448434785
133,1119340.984761523
134,1113882.0952340541
135,1120037.2932541785
136,1104865.027934519
137,1094504.255646482
138,1093077.6090745842
139,1088231.3965844624
